"filename", "language", "XML", "JSON", "HTML", "Dart", "YAML", "Markdown", "C++", "Swift", "Properties", "Groovy", "Java", "comment", "blank", "total"
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner_box/leitner_box_state.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/login/login_cubit.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 2, 6, 71
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/login/login_state.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/meetings/meetings_cubit.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 11, 63
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/meetings/meetings_state.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/my_handouts/my_handouts_cubit.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/my_handouts/my_handouts_state.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/navbar/navbar_cubit.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/navbar/navbar_state.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_handout/new_handout_cubit.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_handout/new_handout_state.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_leitner/new_leitner_cubit.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_leitner/new_leitner_state.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_test_analysis/new_test_analysis_cubit.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_test_analysis/new_test_analysis_state.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_tickeight/new_tickeight_cubit.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_tickeight/new_tickeight_state.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_ticket/new_ticket_cubit.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_ticket/new_ticket_state.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
